,type,criterion,max_depth,min_sample_split,min_sample_leaf,TP,TN,FP,FN
131,all,gini,15,80,20,139,241,147,198
132,part,gini,15,80,40,134,262,126,203
133,all,gini,15,80,40,139,231,157,198
134,part,gini,15,80,60,133,273,115,204
135,all,gini,15,80,60,131,240,148,206
136,part,gini,15,80,80,112,285,103,225
137,all,gini,15,80,80,128,241,147,209
138,part,gini,15,80,100,98,290,98,239
139,all,gini,15,80,100,124,250,138,213
140,part,gini,15,100,20,142,256,132,195
141,all,gini,15,100,20,136,232,156,201
142,part,gini,15,100,40,140,261,127,197
143,all,gini,15,100,40,136,230,158,201
144,part,gini,15,100,60,133,273,115,204
145,all,gini,15,100,60,131,240,148,206
146,part,gini,15,100,80,112,285,103,225
147,all,gini,15,100,80,128,241,147,209
148,part,gini,15,100,100,98,290,98,239
149,all,gini,15,100,100,124,250,138,213
150,part,gini,20,20,20,142,240,148,195
151,all,gini,20,20,20,131,233,155,206
152,part,gini,20,20,40,134,262,126,203
153,all,gini,20,20,40,139,231,157,198
154,part,gini,20,20,60,133,273,115,204
155,all,gini,20,20,60,131,240,148,206
156,part,gini,20,20,80,112,285,103,225
157,all,gini,20,20,80,128,241,147,209
158,part,gini,20,20,100,98,290,98,239
159,all,gini,20,20,100,124,250,138,213
160,part,gini,20,40,20,142,240,148,195
161,all,gini,20,40,20,131,233,155,206
162,part,gini,20,40,40,134,262,126,203
163,all,gini,20,40,40,139,231,157,198
164,part,gini,20,40,60,133,273,115,204
165,all,gini,20,40,60,131,240,148,206
166,part,gini,20,40,80,112,285,103,225
167,all,gini,20,40,80,128,241,147,209
168,part,gini,20,40,100,98,290,98,239
169,all,gini,20,40,100,124,250,138,213
170,part,gini,20,60,20,155,238,150,182
171,all,gini,20,60,20,130,236,152,207
172,part,gini,20,60,40,134,262,126,203
173,all,gini,20,60,40,139,231,157,198
174,part,gini,20,60,60,133,273,115,204
175,all,gini,20,60,60,131,240,148,206
176,part,gini,20,60,80,112,285,103,225
177,all,gini,20,60,80,128,241,147,209
178,part,gini,20,60,100,98,290,98,239
179,all,gini,20,60,100,124,250,138,213
180,part,gini,20,80,20,146,249,139,191
181,all,gini,20,80,20,139,241,147,198
182,part,gini,20,80,40,134,262,126,203
183,all,gini,20,80,40,139,231,157,198
184,part,gini,20,80,60,133,273,115,204
185,all,gini,20,80,60,131,240,148,206
186,part,gini,20,80,80,112,285,103,225
187,all,gini,20,80,80,128,241,147,209
188,part,gini,20,80,100,98,290,98,239
189,all,gini,20,80,100,124,250,138,213
190,part,gini,20,100,20,142,256,132,195
191,all,gini,20,100,20,136,232,156,201
192,part,gini,20,100,40,140,261,127,197
193,all,gini,20,100,40,136,230,158,201
194,part,gini,20,100,60,133,273,115,204
195,all,gini,20,100,60,131,240,148,206
196,part,gini,20,100,80,112,285,103,225
197,all,gini,20,100,80,128,241,147,209
198,part,gini,20,100,100,98,290,98,239
199,all,gini,20,100,100,124,250,138,213
200,part,gini,25,20,20,142,240,148,195
201,all,gini,25,20,20,131,233,155,206
202,part,gini,25,20,40,134,262,126,203
203,all,gini,25,20,40,139,231,157,198
204,part,gini,25,20,60,133,273,115,204
205,all,gini,25,20,60,131,240,148,206
206,part,gini,25,20,80,112,285,103,225
207,all,gini,25,20,80,128,241,147,209
208,part,gini,25,20,100,98,290,98,239
209,all,gini,25,20,100,124,250,138,213
210,part,gini,25,40,20,142,240,148,195
211,all,gini,25,40,20,131,233,155,206
212,part,gini,25,40,40,134,262,126,203
213,all,gini,25,40,40,139,231,157,198
214,part,gini,25,40,60,133,273,115,204
215,all,gini,25,40,60,131,240,148,206
216,part,gini,25,40,80,112,285,103,225
217,all,gini,25,40,80,128,241,147,209
218,part,gini,25,40,100,98,290,98,239
219,all,gini,25,40,100,124,250,138,213
220,part,gini,25,60,20,155,238,150,182
221,all,gini,25,60,20,130,236,152,207
222,part,gini,25,60,40,134,262,126,203
223,all,gini,25,60,40,139,231,157,198
224,part,gini,25,60,60,133,273,115,204
225,all,gini,25,60,60,131,240,148,206
226,part,gini,25,60,80,112,285,103,225
227,all,gini,25,60,80,128,241,147,209
228,part,gini,25,60,100,98,290,98,239
229,all,gini,25,60,100,124,250,138,213
230,part,gini,25,80,20,146,249,139,191
231,all,gini,25,80,20,139,241,147,198
232,part,gini,25,80,40,134,262,126,203
233,all,gini,25,80,40,139,231,157,198
234,part,gini,25,80,60,133,273,115,204
235,all,gini,25,80,60,131,240,148,206
236,part,gini,25,80,80,112,285,103,225
237,all,gini,25,80,80,128,241,147,209
238,part,gini,25,80,100,98,290,98,239
239,all,gini,25,80,100,124,250,138,213
240,part,gini,25,100,20,142,256,132,195
241,all,gini,25,100,20,136,232,156,201
242,part,gini,25,100,40,140,261,127,197
243,all,gini,25,100,40,136,230,158,201
244,part,gini,25,100,60,133,273,115,204
245,all,gini,25,100,60,131,240,148,206
246,part,gini,25,100,80,112,285,103,225
247,all,gini,25,100,80,128,241,147,209
248,part,gini,25,100,100,98,290,98,239
249,all,gini,25,100,100,124,250,138,213
250,part,entropy,5,20,20,136,249,139,201
251,all,entropy,5,20,20,124,252,136,213
252,part,entropy,5,20,40,134,256,132,203
253,all,entropy,5,20,40,128,242,146,209
254,part,entropy,5,20,60,131,268,120,206
255,all,entropy,5,20,60,126,240,148,211
256,part,entropy,5,20,80,114,282,106,223
257,all,entropy,5,20,80,127,246,142,210
258,part,entropy,5,20,100,100,288,100,237
259,all,entropy,5,20,100,124,254,134,213
260,part,entropy,5,40,20,136,249,139,201
261,all,entropy,5,40,20,124,252,136,213
262,part,entropy,5,40,40,134,256,132,203
263,all,entropy,5,40,40,128,242,146,209
264,part,entropy,5,40,60,131,268,120,206
265,all,entropy,5,40,60,126,240,148,211
266,part,entropy,5,40,80,114,282,106,223
267,all,entropy,5,40,80,127,246,142,210
268,part,entropy,5,40,100,100,288,100,237
269,all,entropy,5,40,100,124,254,134,213
270,part,entropy,5,60,20,134,250,138,203
271,all,entropy,5,60,20,123,252,136,214
272,part,entropy,5,60,40,134,256,132,203
273,all,entropy,5,60,40,128,242,146,209
274,part,entropy,5,60,60,131,268,120,206
275,all,entropy,5,60,60,126,240,148,211
276,part,entropy,5,60,80,114,282,106,223
277,all,entropy,5,60,80,127,246,142,210
278,part,entropy,5,60,100,100,288,100,237
279,all,entropy,5,60,100,124,254,134,213
280,part,entropy,5,80,20,138,252,136,199
281,all,entropy,5,80,20,125,250,138,212
282,part,entropy,5,80,40,134,256,132,203
283,all,entropy,5,80,40,128,242,146,209
284,part,entropy,5,80,60,131,268,120,206
285,all,entropy,5,80,60,126,240,148,211
286,part,entropy,5,80,80,114,282,106,223
287,all,entropy,5,80,80,127,246,142,210
288,part,entropy,5,80,100,100,288,100,237
289,all,entropy,5,80,100,124,254,134,213
290,part,entropy,5,100,20,136,254,134,201
291,all,entropy,5,100,20,129,236,152,208
292,part,entropy,5,100,40,136,258,130,201
293,all,entropy,5,100,40,128,238,150,209
294,part,entropy,5,100,60,131,268,120,206
295,all,entropy,5,100,60,126,240,148,211
296,part,entropy,5,100,80,114,282,106,223
297,all,entropy,5,100,80,127,246,142,210
298,part,entropy,5,100,100,100,288,100,237
299,all,entropy,5,100,100,124,254,134,213
300,part,entropy,10,20,20,146,242,146,191
301,all,entropy,10,20,20,137,231,157,200
302,part,entropy,10,20,40,134,263,125,203
303,all,entropy,10,20,40,139,229,159,198
304,part,entropy,10,20,60,132,272,116,205
305,all,entropy,10,20,60,126,238,150,211
306,part,entropy,10,20,80,112,284,104,225
307,all,entropy,10,20,80,126,246,142,211
308,part,entropy,10,20,100,99,289,99,238
309,all,entropy,10,20,100,124,254,134,213
310,part,entropy,10,40,20,146,242,146,191
311,all,entropy,10,40,20,137,231,157,200
312,part,entropy,10,40,40,134,263,125,203
313,all,entropy,10,40,40,139,229,159,198
314,part,entropy,10,40,60,132,272,116,205
315,all,entropy,10,40,60,126,238,150,211
316,part,entropy,10,40,80,112,284,104,225
317,all,entropy,10,40,80,126,246,142,211
318,part,entropy,10,40,100,99,289,99,238
319,all,entropy,10,40,100,124,254,134,213
320,part,entropy,10,60,20,152,238,150,185
321,all,entropy,10,60,20,136,233,155,201
322,part,entropy,10,60,40,134,263,125,203
323,all,entropy,10,60,40,139,229,159,198
324,part,entropy,10,60,60,132,272,116,205
325,all,entropy,10,60,60,126,238,150,211
326,part,entropy,10,60,80,112,284,104,225
327,all,entropy,10,60,80,126,246,142,211
328,part,entropy,10,60,100,99,289,99,238
329,all,entropy,10,60,100,124,254,134,213
330,part,entropy,10,80,20,147,249,139,190
331,all,entropy,10,80,20,140,240,148,197
332,part,entropy,10,80,40,134,263,125,203
333,all,entropy,10,80,40,139,229,159,198
334,part,entropy,10,80,60,132,272,116,205
335,all,entropy,10,80,60,126,238,150,211
336,part,entropy,10,80,80,112,284,104,225
337,all,entropy,10,80,80,126,246,142,211
338,part,entropy,10,80,100,99,289,99,238
339,all,entropy,10,80,100,124,254,134,213
340,part,entropy,10,100,20,142,255,133,195
341,all,entropy,10,100,20,136,230,158,201
342,part,entropy,10,100,40,139,261,127,198
343,all,entropy,10,100,40,135,228,160,202
344,part,entropy,10,100,60,132,272,116,205
345,all,entropy,10,100,60,126,238,150,211
346,part,entropy,10,100,80,112,284,104,225
347,all,entropy,10,100,80,126,246,142,211
348,part,entropy,10,100,100,99,289,99,238
349,all,entropy,10,100,100,124,254,134,213
350,part,entropy,15,20,20,147,241,147,190
351,all,entropy,15,20,20,137,231,157,200
352,part,entropy,15,20,40,134,263,125,203
353,all,entropy,15,20,40,139,229,159,198
354,part,entropy,15,20,60,132,272,116,205
355,all,entropy,15,20,60,126,238,150,211
356,part,entropy,15,20,80,112,284,104,225
357,all,entropy,15,20,80,126,246,142,211
358,part,entropy,15,20,100,99,289,99,238
359,all,entropy,15,20,100,124,254,134,213
360,part,entropy,15,40,20,147,241,147,190
361,all,entropy,15,40,20,137,231,157,200
362,part,entropy,15,40,40,134,263,125,203
363,all,entropy,15,40,40,139,229,159,198
364,part,entropy,15,40,60,132,272,116,205
365,all,entropy,15,40,60,126,238,150,211
366,part,entropy,15,40,80,112,284,104,225
367,all,entropy,15,40,80,126,246,142,211
368,part,entropy,15,40,100,99,289,99,238
369,all,entropy,15,40,100,124,254,134,213
370,part,entropy,15,60,20,152,238,150,185
371,all,entropy,15,60,20,136,233,155,201
372,part,entropy,15,60,40,134,263,125,203
373,all,entropy,15,60,40,139,229,159,198
374,part,entropy,15,60,60,132,272,116,205
375,all,entropy,15,60,60,126,238,150,211
376,part,entropy,15,60,80,112,284,104,225
377,all,entropy,15,60,80,126,246,142,211
378,part,entropy,15,60,100,99,289,99,238
379,all,entropy,15,60,100,124,254,134,213
380,part,entropy,15,80,20,147,249,139,190
381,all,entropy,15,80,20,140,240,148,197
382,part,entropy,15,80,40,134,263,125,203
383,all,entropy,15,80,40,139,229,159,198
384,part,entropy,15,80,60,132,272,116,205
385,all,entropy,15,80,60,126,238,150,211
386,part,entropy,15,80,80,112,284,104,225
387,all,entropy,15,80,80,126,246,142,211
388,part,entropy,15,80,100,99,289,99,238
389,all,entropy,15,80,100,124,254,134,213
390,part,entropy,15,100,20,142,255,133,195
391,all,entropy,15,100,20,136,230,158,201
392,part,entropy,15,100,40,139,261,127,198
393,all,entropy,15,100,40,135,228,160,202
394,part,entropy,15,100,60,132,272,116,205
395,all,entropy,15,100,60,126,238,150,211
396,part,entropy,15,100,80,112,284,104,225
397,all,entropy,15,100,80,126,246,142,211
398,part,entropy,15,100,100,99,289,99,238
399,all,entropy,15,100,100,124,254,134,213
400,part,entropy,20,20,20,147,241,147,190
401,all,entropy,20,20,20,137,231,157,200
402,part,entropy,20,20,40,134,263,125,203
403,all,entropy,20,20,40,139,229,159,198
404,part,entropy,20,20,60,132,272,116,205
405,all,entropy,20,20,60,126,238,150,211
406,part,entropy,20,20,80,112,284,104,225
407,all,entropy,20,20,80,126,246,142,211
408,part,entropy,20,20,100,99,289,99,238
409,all,entropy,20,20,100,124,254,134,213
410,part,entropy,20,40,20,147,241,147,190
411,all,entropy,20,40,20,137,231,157,200
412,part,entropy,20,40,40,134,263,125,203
413,all,entropy,20,40,40,139,229,159,198
414,part,entropy,20,40,60,132,272,116,205
415,all,entropy,20,40,60,126,238,150,211
416,part,entropy,20,40,80,112,284,104,225
417,all,entropy,20,40,80,126,246,142,211
418,part,entropy,20,40,100,99,289,99,238
419,all,entropy,20,40,100,124,254,134,213
420,part,entropy,20,60,20,152,238,150,185
421,all,entropy,20,60,20,136,233,155,201
422,part,entropy,20,60,40,134,263,125,203
423,all,entropy,20,60,40,139,229,159,198
424,part,entropy,20,60,60,132,272,116,205
425,all,entropy,20,60,60,126,238,150,211
426,part,entropy,20,60,80,112,284,104,225
427,all,entropy,20,60,80,126,246,142,211
428,part,entropy,20,60,100,99,289,99,238
429,all,entropy,20,60,100,124,254,134,213
430,part,entropy,20,80,20,147,249,139,190
431,all,entropy,20,80,20,140,240,148,197
432,part,entropy,20,80,40,134,263,125,203
433,all,entropy,20,80,40,139,229,159,198
434,part,entropy,20,80,60,132,272,116,205
435,all,entropy,20,80,60,126,238,150,211
436,part,entropy,20,80,80,112,284,104,225
437,all,entropy,20,80,80,126,246,142,211
438,part,entropy,20,80,100,99,289,99,238
439,all,entropy,20,80,100,124,254,134,213
440,part,entropy,20,100,20,142,255,133,195
441,all,entropy,20,100,20,136,230,158,201
442,part,entropy,20,100,40,139,261,127,198
443,all,entropy,20,100,40,135,228,160,202
444,part,entropy,20,100,60,132,272,116,205
445,all,entropy,20,100,60,126,238,150,211
446,part,entropy,20,100,80,112,284,104,225
447,all,entropy,20,100,80,126,246,142,211
448,part,entropy,20,100,100,99,289,99,238
449,all,entropy,20,100,100,124,254,134,213
450,part,entropy,25,20,20,147,241,147,190
451,all,entropy,25,20,20,137,231,157,200
452,part,entropy,25,20,40,134,263,125,203
453,all,entropy,25,20,40,139,229,159,198
454,part,entropy,25,20,60,132,272,116,205
455,all,entropy,25,20,60,126,238,150,211
456,part,entropy,25,20,80,112,284,104,225
457,all,entropy,25,20,80,126,246,142,211
458,part,entropy,25,20,100,99,289,99,238
459,all,entropy,25,20,100,124,254,134,213
460,part,entropy,25,40,20,147,241,147,190
461,all,entropy,25,40,20,137,231,157,200
462,part,entropy,25,40,40,134,263,125,203
463,all,entropy,25,40,40,139,229,159,198
